nom,line,mode,order,lat,lon,arrondissement,figure_historique,couleur,ouverte_apres_1980,rive_gauche,has_rer,has_tram
Porte de la Villette,7,METRO,4,48.89780269235572,2.385869033143345,19,0,0,0,0,0,0
Corentin Cariou,7,METRO,5,48.89467266005628,2.382291557164633,19,0,0,0,0,0,0
Crimée,7,METRO,6,48.890814345621656,2.3770380600019925,19,0,0,0,0,0,0
Riquet,7,METRO,7,48.888157262065796,2.373669464743196,19,0,0,0,0,0,0
Stalingrad,7,METRO,8,48.88437303056126,2.3688985490576733,19,0,0,0,0,0,0
Louis Blanc,7,METRO,9,48.88124182075271,2.3643562491890786,10,1,1,0,0,0,0
Château Landon,7,METRO,10,48.87845059378512,2.3620450936034145,10,0,0,0,0,0,0
Gare de l'Est,7,METRO,11,48.876271214541624,2.358120525273069,10,0,0,0,0,1,0
Poissonnière,7,METRO,12,48.87716484925024,2.3487397513900734,9,0,0,0,0,0,0
Cadet,7,METRO,13,48.875963285075564,2.344446309702274,9,0,0,0,0,0,0
Le Peletier,7,METRO,14,48.874851793670715,2.340206459456337,9,0,0,0,0,0,0
Chaussée d'Antin - La Fayette,7,METRO,15,48.87313420577469,2.3337385944087012,9,0,0,0,0,0,0
Opéra,7,METRO,16,48.870326260852515,2.332572085877118,2,0,0,0,0,0,0
Pyramides,7,METRO,17,48.86583012818995,2.33429208315197,1,0,0,1,0,0,0
Palais Royal - Musée du Louvre,7,METRO,18,48.862683997769665,2.337007354765684,1,0,0,0,0,0,0
Pont Neuf,7,METRO,19,48.858456031111984,2.3417089232034765,1,0,0,0,0,0,0
Châtelet,7,METRO,20,48.856953460785334,2.3481609912345776,4,0,0,1,0,0,0
Pont Marie (Cité des Arts),7,METRO,21,48.85341474936241,2.357349968447059,4,0,0,0,0,0,0
Sully - Morland,7,METRO,22,48.85120791254347,2.3617517381263218,4,0,0,0,0,0,0
Jussieu,7,METRO,23,48.84596333903808,2.354798309820857,5,0,0,0,1,0,0
Place Monge,7,METRO,24,48.842683564383904,2.3520055901754713,5,0,0,0,1,0,0
Censier - Daubenton,7,METRO,25,48.84026600820119,2.351495277596339,5,0,0,0,1,0,0
Les Gobelins,7,METRO,26,48.835841622344475,2.3524168018982756,13,0,0,0,1,0,0
Place d'Italie,7,METRO,27,48.83154024475565,2.355303769754901,13,0,0,0,1,0,0
Tolbiac,7,METRO,28,48.82613686175372,2.357318439213192,13,0,0,0,1,0,0
Maison Blanche,7,METRO,29,48.82214950607496,2.358412946155939,13,0,1,1,1,0,0
Le Kremlin-Bicêtre,7,METRO,30,48.81025257278989,2.362130413802561,94,0,0,0,0,0,0
Villejuif Léo Lagrange,7,METRO,31,48.80435318028833,2.3639317476477353,94,0,0,0,0,0,0
Villejuif Paul Vaillant-Couturier,7,METRO,32,48.79631793416014,2.3683316015776423,94,0,0,0,0,0,0
Villejuif - Louis Aragon,7,METRO,33,48.78753717099888,2.36783901176962,94,0,0,1,0,0,1
Porte d'Italie,7,METRO,34,48.81910659655869,2.3595297331071694,13,0,0,0,1,0,1
Porte de Choisy,7,METRO,35,48.82005592914816,2.3646785940494577,13,0,0,0,1,0,1
Porte d'Ivry,7,METRO,36,48.821489035562834,2.3695112543194927,13,0,0,0,1,0,1
Pierre et Marie Curie,7,METRO,37,48.815836500997094,2.377246886036494,94,1,0,0,0,0,0
Mairie d'Ivry,7,METRO,38,48.811210093393306,2.383498053635828,94,0,0,0,0,0,0
Louis Blanc,7B,METRO,1,48.88118341152446,2.364365143550256,10,1,1,0,0,0,0
Jaurès,7B,METRO,2,48.882326316477965,2.370465586581431,19,0,0,0,0,0,0
Bolivar,7B,METRO,3,48.88078966297506,2.374124871187542,19,0,0,0,0,0,0
Buttes Chaumont,7B,METRO,4,48.878422971131464,2.381632921459486,19,0,0,0,0,0,0
Botzaris,7B,METRO,5,48.87943610160117,2.388908111185046,19,0,0,0,0,0,0
Place des Fêtes,7B,METRO,6,48.87693859004261,2.392959616507311,19,0,0,0,0,0,0
Pré-Saint-Gervais,7B,METRO,7,48.8801595806643,2.398580770693528,19,0,0,0,0,0,0
Danube,7B,METRO,8,48.88194921492064,2.393228471227492,19,0,0,0,0,0,0
Balard,8,METRO,1,48.83666789483108,2.2783626618092008,15,0,0,0,1,0,1
Lourmel,8,METRO,2,48.838785539019476,2.2820358715985742,15,0,0,0,1,0,0
Boucicaut,8,METRO,3,48.841122353680156,2.2877944613211754,15,1,0,0,1,0,0
Félix Faure,8,METRO,4,48.84274672574357,2.291751809719901,15,0,0,0,1,0,0
