nom,lines,lat,lon,arrondissement,figure_historique,couleur,ouverte_apres_1980,rive_gauche,has_rer
Pré-Saint-Gervais,7bis,48.88025,2.39891,1,0,0,0,0,0
Balard,8,48.83597,2.278212,1,0,0,0,0,0
Bonne Nouvelle,8 9,48.870639,2.348875,1,0,0,0,0,0
Boucicaut,8,48.840578,2.286621,1,1,0,0,0,0
Charenton - Écoles,8,48.82149,2.41386,94,0,0,0,0,0
Chemin Vert,8,48.856778,2.368348,1,0,1,0,0,0
Commerce,8,48.845093,2.294215,1,0,0,0,0,0
Créteil - L'Échat,8,48.795963,2.449356,94,0,0,0,0,0
Créteil - Préfecture,8,48.779772,2.459317,94,0,0,0,0,0
Créteil - Université,8,48.789754,2.450785,94,0,0,0,0,0
École Militaire,8,48.85511,2.306737,1,0,0,0,0,0
École Vétérinaire de Maisons-Alfort,8,48.81519,2.421882,94,0,0,0,0,0
Faidherbe - Chaligny,8,48.850158,2.383398,1,0,0,0,0,0
Félix Faure,8,48.842351,2.291004,1,0,0,0,0,0
Filles du Calvaire,8,48.864167,2.366111,1,0,0,0,0,0
Grands Boulevards,8 9,48.871426,2.344342,1,0,0,0,0,0
Invalides,8 13 C,48.86299,2.31333,1,0,0,0,0,1
La Tour-Maubourg,8,48.857667,2.310399,1,0,0,0,0,0
Ledru-Rollin,8,48.851529,2.37516,1,0,0,0,0,0
Liberté,8,48.825882,2.407022,94,0,0,0,0,0
Lourmel,8,48.838604,2.281817,1,0,0,0,0,0
Madeleine,8 12 14,48.86977,2.3244,1,0,0,1,0,0
Maisons-Alfort - Les Juilliottes,8,48.802567,2.446432,94,0,0,0,0,0
Maisons-Alfort - Stade,8,48.808681,2.436073,94,0,0,0,0,0
Michel Bizot,8,48.837485,2.401234,1,0,0,0,0,0
Montgallet,8,48.844276,2.389974,1,0,0,0,0,0
Pointe du Lac,8,48.76889,2.46472,94,0,0,1,0,0
Porte de Charenton,8,48.83278,2.4004,1,0,0,0,0,0
Porte Dorée,8,48.835481,2.4061,1,0,0,0,0,0
Richelieu - Drouot,8,48.871987,2.338741,1,1,0,0,0,0
Saint-Sébastien - Froissart,8,48.86048,2.367358,1,0,0,0,0,0
Alma - Marceau,9,48.864904,2.300234,1,0,0,0,0,0
Billancourt,9,48.83209,2.238177,92,0,0,0,0,0
Buzenval,9,48.851976,2.402045,1,0,0,0,0,0
Charonne,9,48.855103,2.384639,1,0,0,0,0,0
Croix de Chavaux,9,48.858055,2.435764,93,0,0,0,0,0
Exelmans,9,48.842405,2.259549,1,0,0,0,0,0
Iéna,9,48.864466,2.29338,1,0,0,0,0,0
Jasmin,9,48.851898,2.267856,1,0,0,0,0,0
La Muette,9 C,48.857718,2.273719,1,0,0,0,0,1
Mairie de Montreuil,9,48.862283,2.441847,93,0,0,0,0,0
Maraîchers,9,48.852851,2.40699,1,0,0,0,0,0
Marcel Sembat,9,48.83367,2.243579,92,0,0,0,0,0
Michel-Ange - Auteuil,9 10,48.8475,2.263611,1,0,0,0,0,0
Michel-Ange - Molitor,9 10,48.84496,2.261194,1,0,0,0,0,0
Miromesnil,9 13,48.87367,2.31446,1,0,0,0,0,0
Pont de Sèvres,9,48.829747,2.231035,92,0,0,0,0,0
Porte de Montreuil,9,48.853792,2.412245,1,0,0,0,0,0
Porte de Saint-Cloud,9,48.838082,2.256956,1,0,0,0,0,0
Ranelagh,9,48.85502,2.269634,1,0,0,0,0,0
Robespierre,9,48.855683,2.423678,93,0,0,0,0,0
Rue de la Pompe,9,48.863912,2.279052,1,0,0,0,0,0
Rue des Boulets,9,48.851811,2.390151,1,0,0,0,0,0
Saint-Ambroise,9,48.861295,2.374211,1,0,0,0,0,0
Saint-Augustin,9,48.874441,2.322133,1,0,0,0,0,0
Saint-Philippe du Roule,9,48.871941,2.310036,1,0,0,0,0,0
Voltaire,9,48.857803,2.380106,1,0,0,0,0,0
Avenue Émile Zola,10,48.846977,2.294512,1,0,0,0,0,0
Boulogne - Jean Jaurès,10,48.842278,2.238877,92,1,0,0,0,0
Boulogne - Pont de Saint-Cloud,10,48.840684,2.228331,92,0,0,0,0,0
Cardinal Lemoine,10,48.847139,2.351203,1,1,0,0,0,0
Chardon Lagache,10,48.845138,2.266214,1,0,0,0,0,0
Charles Michels,10,48.846591,2.286942,1,0,0,0,0,0
Cluny - La Sorbonne,10 B C,48.851019,2.344583,1,0,0,0,0,1
